MEN,21,2976,0.7400441659575057,0.0
RG65,21,65,0.7739362300000705,4.04852312305156e-14
SIMLEX999,21,957,0.4437679800796387,1.9168222407848126e-47
SIMVERB3500,21,2890,0.24428557540274684,1.56488157958056e-40
WORDSIM353,21,306,0.544851508262755,4.684094664717804e-25
MEN,24,2976,0.7058496877252087,0.0
RG65,24,65,0.7756845963740012,3.2630755673997556e-14
SIMLEX999,24,957,0.40003854941469386,4.396607386550503e-38
SIMVERB3500,24,2890,0.20930742008967285,5.671331770505733e-30
WORDSIM353,24,306,0.5621499105742245,6.83271277334294e-27
MEN,27,2976,0.7141377258998507,0.0
RG65,27,65,0.7821098427981963,1.4522904966716594e-14
SIMLEX999,27,957,0.4150442621292912,3.850331801684723e-41
SIMVERB3500,27,2890,0.2274989462404293,3.0527733816723686e-35
WORDSIM353,27,306,0.5999712898351472,2.6450687148567846e-31
MEN,30,2976,0.7217577945551824,0.0
RG65,30,65,0.7677732385319651,8.529976695447067e-14
SIMLEX999,30,957,0.40645767213811246,2.260547408764058e-39
SIMVERB3500,30,2890,0.22050731023421538,3.6829851496997916e-33
WORDSIM353,30,306,0.594599623387957,1.2156433226447828e-30
MEN,33,2976,0.7417424300934972,0.0
RG65,33,65,0.7601241356460186,2.0849505756483586e-13
SIMLEX999,33,957,0.41420701471900057,5.757499034512818e-41
SIMVERB3500,33,2890,0.22611217027056224,8.002104754168795e-35
WORDSIM353,33,306,0.593464615331203,1.6717705721638676e-30
